ID,Text,Comment
LV.BCEv.StartBonus.C3N,"[[C]]Dry fallen trunks lie near the treeline. [[+]]+[[good:{S3}:{I3}]]",
LV.BCEv.StartBonus.C4,"Rescue the youngling",
LV.BCEv.StartBonus.C4N,"[[C]]A young kit is found near the river, barely alive. [[+]]+{I4} [[icon:UI/images/game/ico-child]] Child Beaver",
LV.BCEv.FirstDeath,"First Passing",
LV.BCEv.FirstDeath.Content,"{CP_TriggerCharacterName} has passed away.

The colony grows quiet. For the first time, the beavers are not only thinking about survival, but about memory. A few gather nearby, unsure what to do next. Work still needs doing, but so does grief.",
LV.BCEv.FirstDeath.C1,"Send them downriver",
LV.BCEv.FirstDeath.C1N,"[[C]][[-]]Pay [[good:{S1}:{I1}]] within [[time:{F1}d]]",
LV.BCEv.FirstDeath.C2,"Build a cemetery",
LV.BCEv.FirstDeath.C2N,"[[C]][[-]]Pay [[good:{S2}:{I2}]] [[good:{S3}:{I3}]] within [[time:{F2}d]]",
LV.BCEv.FirstDeath.C3,"Keep working",
LV.BCEv.FirstDeath.C3N,"[[C]]There is no time for this. The colony must move on. <YellowHighlight>Unknown consequences.</YellowHighlight>",
LV.BCEv.FirstDeath.O1,"The logs are lashed together into a small raft, just large enough to carry {CP_TriggerCharacterName} downriver.
The colony watches in silence as the current takes them away. It is a simple farewell, but it gives the beavers a little peace.
[[C]][[+]]All beavers gain the <GreenHighlight>+Remembrance</GreenHighlight> Wellbeing bonus for some time.",
LV.BCEv.FirstDeath.O2,"The planks are shaped into a small cemetery marker for {CP_TriggerCharacterName}.
It is not much, but it gives the colony a place to pause, remember, and honor those who came before them.
[[C]][[+]]All beavers permanently gain the <GreenHighlight>+Remembrance</GreenHighlight> Wellbeing bonus.",
LV.BCEv.FirstDeath.O3,"No farewell is given for {CP_TriggerCharacterName}. No marker is built. The colony simply returns to work.
Some beavers try not to think about it, but the silence settles heavily over the settlement. To them, it feels as if {CP_TriggerCharacterName} was simply ignored.
[[C]][[-]]All beavers suffer Heavy Hearts effect for {F5}d.",
LV.BCEv.FirstDeath.O4,"The colony returns to work.
There is sadness, but also understanding. Food must be gathered, water must be stored, and the settlement must survive. For now, the beavers carry the loss quietly and move on.",
LV.BCEv.FirstDeath.BonusName,"Remembrance",
LV.BCEv.FirstDeath.MalusName,"Heavy Hearts",
LV.BCEv.FirstDeath.MalusDesc,"{%4} Working Speed",
LV.BCEv.Unhoused,"Still Under the Open Sky",
LV.BCEv.Unhoused.Content,"Some time has passed since the colony began, but not every beaver has a roof to sleep under.
At dusk, the unhoused gather near the paths, wrapping their tails close against the cold ground. No one complains loudly. They only glance toward the finished lodges, then back at the empty spaces where more homes should have stood.
The colony looks to you for an answer.",
LV.BCEv.Unhoused.C1,"Promise shelter for most",
LV.BCEv.Unhoused.C1N,"[[C]]Ensure at least {%1} of beavers remain sheltered after [[time:{F2}d]]",
LV.BCEv.Unhoused.C2,"Promise shelter for all",
LV.BCEv.Unhoused.C2N,"[[C]]Ensure all beavers remain sheltered after [[time:{F3}d]]",
LV.BCEv.Unhoused.C3,"Make no promise",
LV.BCEv.Unhoused.C3N,"[[C]]The colony is too busy to make any promises. <YellowHighlight>Unknown consequences.</YellowHighlight>",
LV.BCEv.Unhoused.BuffName,"Sheltered",
LV.BCEv.Unhoused.BuffMinorDesc,"+{%6} Working Speed",
LV.BCEv.Unhoused.BuffMajorDesc,"+{%7} Working and Movement Speed",
LV.BCEv.Unhoused.DebuffName,"Unhoused",
LV.BCEv.Unhoused.DebuffDesc,"{%8} Working and Movement Speed",
LV.BCEv.Unhoused.O1,"By the promised day, most of the unhoused beavers have found a place indoors. It is not perfect, but it is enough to prove that the colony remembers those sleeping under the open sky. The mood lifts. Work resumes with steadier paws.
[[C]][[+]]All beavers gain +{%6} Working Speed for [[time:{F4}d]]",
LV.BCEv.Unhoused.O2,"By the promised day, every beaver has a roof overhead. The last bed is claimed before nightfall, and for the first time in days, no one has to choose between sleep and the cold ground. The colony rests easier, and rises stronger.
[[C]][[+]]All beavers gain +{%7} Working and Movement Speed for [[time:{F4}d]]",
LV.BCEv.Unhoused.O3,"Too many beavers are still sleeping outside. Whatever was said before, the colony has not given them shelter.
They rise tired, work slower, and keep their doubts mostly to themselves.
[[C]][[-]]All beavers suffer {%8} Working and Movement Speed for [[time:{F5}d]]",
LV.BCEv.Unhoused.AlreadyHoused.Content,"A few beavers begin counting beds and lodges, worried that some among them may still be sleeping outside.
[[+]]But the count brings good news.
Every beaver already has a roof overhead. No one has been forgotten. No one has been left to curl up beside the paths at dusk. The colony is quietly pleased. It is one thing to build shelter after complaints begin. It is another to prepare it before anyone has to ask. The beavers take the news with warm satisfaction. Their homes were ready before hardship forced the issue, and that care is not forgotten. The colony rests easier, trusts deeper, and rises with renewed strength.
[[C]][[+]]All beavers gain +{%7} Working and Movement Speed for [[time:{F9}d]]",
LV.BCEv.FirstChildGrowth,"First Furrows",
LV.BCEv.FirstChildGrowth.Content,"{CP_TriggerAdultName} has come of age. Yesterday, they chased dragonflies along the bank. Today, they stand ready to take their place among the builders, haulers, growers, and dreamers.
Some beavers suggest marking the moment with a small feast. It would cost precious resources, but a colony that celebrates its young may find its spirits lifted.",
LV.BCEv.FirstChildGrowth.C1,"Hold a party",
LV.BCEv.FirstChildGrowth.C1N,"[[C]]Pay [[good:{S1}:{CP_PartyCost}]] and [[good:{S2}:{CP_PartyCost}]] in [[time:{F1}d]].",
LV.BCEv.FirstChildGrowth.C2,"Let the day pass",
LV.BCEv.FirstChildGrowth.C2N,"[[C]]Nothing happens",
LV.BCEv.FirstChildGrowth.O1,"The feast is simple, but joyful. Food is shared, cups are raised, and {CP_TriggerAdultName} is welcomed into adulthood with cheers, jokes, and proud tail-slaps.
For a moment, the colony feels less like a settlement and more like a family.
[[C]][[+]]All beavers gain +{%3} Working Speed for [[time:{F2}d]]",
LV.BCEv.FirstChildGrowth.O2,"The planned celebration never quite comes together. Supplies are needed elsewhere, and the colony quietly returns to its routines.",
LV.BCEv.FirstChildGrowth.BuffName,"Celebration",
LV.BCEv.FirstChildGrowth.BuffDesc,"+{%3} Working Speed",
LV.BCEv.DroughtPrep,"Dry Days Ahead",
LV.BCEv.DroughtPrep.Content,"The air has turned brittle, and the river runs lower than it should. Old paws sniff the wind and mutter that a drought is coming.
A group of volunteers gathers before dawn, packs ready and tails high. They want to make one last trip before the dry days arrive, but the colony must decide where their effort is best spent.",
LV.BCEv.DroughtPrep.C1,"Search the spring",
LV.BCEv.DroughtPrep.C2,"Search the woods",
LV.BCEv.DroughtPrep.C3,"Search the meadow",
LV.BCEv.DroughtPrep.O1,"The volunteers return with muddy paws and full barrels. The spring was weak, but not empty.
[[C]][[+]]Gain [[good:{S2}:{I1}]]",
LV.BCEv.DroughtPrep.O4,"The volunteers find only damp stones and cracked reeds. Whatever water once pooled there has already sunk away.",
LV.BCEv.DroughtPrep.O2,"The volunteers return dragging branches, cuttings, and dry timber. The woods offered more than expected.
[[C]][[+]]Gain [[good:{S3}:{I2}]]",
LV.BCEv.DroughtPrep.O5,"The woods are quiet and picked clean. The volunteers return tired, with little more than scratches and burrs.",
LV.BCEv.DroughtPrep.O3,"The volunteers come back with baskets of gathered food, enough to make the coming days feel a little less sharp.
[[C]][[+]]Gain [[good:{S4}:{I3}]]",
LV.BCEv.DroughtPrep.O6,"The meadow has already withered under the heat. The volunteers find only dry stalks and empty roots.",
LV.BCEv.FoodWoodDispute1,"Axes and Plows",
LV.BCEv.FoodWoodDispute1.Content,"A quarrel has grown between the farmers and the lumberjacks. At first, it was only boasting over whose work mattered more. Then the jokes sharpened, the grumbling spread, and soon both sides were loudly claiming that the colony would fall apart without them.
The farmers say full bellies keep paws moving. The lumberjacks say every roof, dam, and workshop begins with timber.
Now both groups have come before you, waiting to hear which work the colony values more.",
LV.BCEv.FoodWoodDispute1.C1,"""We can't eat wood!""",
LV.BCEv.FoodWoodDispute1.C2,"""Logs build the colony!""",
LV.BCEv.FoodWoodDispute1.C3,"""Settle it yourselves.""",
LV.BCEv.FoodWoodDispute1.O1,"The farmers cheer your judgment and return to the fields with renewed pride. If food is the heart of the colony, they intend to keep it beating.
The lumberjacks return to the forest in bitter silence.
[[C]][[-]]Lumberjack Flags' workers lose {%4} Working Speed for [[time:{F1}d]]
[[C]][[+]]Farmhouses' workers gain +{%3} Working Speed for [[time:{F1}d]]",
LV.BCEv.FoodWoodDispute1.O2,"The lumberjacks thump their tails in approval and march back toward the trees. Every raised roof and sturdy dam will prove their worth.
The farmers return to their fields with sour looks and sharper words.
[[C]][[+]]Lumberjack Flags' workers gain +{%3} Working Speed for [[time:{F1}d]]
[[C]][[-]]Farmhouses' workers lose {%4} Working Speed for [[time:{F1}d]]",
LV.BCEv.FoodWoodDispute1.O3,"To everyone's surprise, your refusal to choose sides works. The two groups argue a little longer, then begin laughing at how foolish the quarrel has become.
Both return to work determined to prove their worth without tearing the colony apart.
[[C]][[+]]Lumberjack Flags' workers gain +{%3} Working Speed for [[time:{F1}d]]
[[C]][[+]]Farmhouses' workers gain +{%3} Working Speed for [[time:{F1}d]]",
LV.BCEv.FoodWoodDispute1.O4,"Your refusal to choose sides satisfies nobody. The farmers feel ignored, the lumberjacks feel dismissed, and both groups return to work with their tails low and tempers high.
The quarrel is not over.
[[C]][[-]]Lumberjack Flags' workers lose {%4} Working Speed for [[time:{F1}d]]
[[C]][[-]]Farmhouses' workers lose {%4} Working Speed for [[time:{F1}d]]",
LV.BCEv.FoodWoodDispute.Ch1BonusDesc,"+{%3} Working Speed",
LV.BCEv.FoodWoodDispute.Ch1MalusDesc,"{%4} Working Speed",
LV.BCEv.FoodWoodDispute2,"Axes and Plows: Escalation",
LV.BCEv.FoodWoodDispute2.Content,"The quarrel has not faded. Days later, the arguments flare up once again, louder and harsher than before. Workers accuse each other of arrogance, laziness, and draining the colony's labor for their own needs.
Now the entire colony waits to see whether you will stand firm, change course, or refuse to take part in the dispute at all.",
LV.BCEv.FoodWoodDispute2.C1,"""Food comes first.""",
LV.BCEv.FoodWoodDispute2.C2,"""Wood keeps us alive.""",
LV.BCEv.FoodWoodDispute2.C3,"""I will not choose sides.""",
LV.BCEv.FoodWoodDispute2.CrisisPanel,"The dispute worsens",
LV.BCEv.FoodWoodDispute2.O1F,"Your repeated support leaves no doubt where the colony leadership stands. The favored workers grow proud and energetic, while the others lose heart entirely.
[[C]][[+]]{S5} workers gain +{%2} Working Speed for [[time:{F1}d]]
[[C]][[-]]{S6} workers lose {%3} Working Speed for [[time:{F1}d]]",
LV.BCEv.FoodWoodDispute2.O1L,"Your repeated support leaves no doubt where the colony leadership stands. The favored workers grow proud and energetic, while the others lose heart entirely.
[[C]][[+]]{S6} workers gain +{%2} Working Speed for [[time:{F1}d]]
[[C]][[-]]{S5} workers lose {%3} Working Speed for [[time:{F1}d]]",
LV.BCEv.FoodWoodDispute2.O2F,"The sudden shift catches the colony off guard, but over time the workers begin accepting the new balance. Tempers cool, though some resentment remains.
[[C]][[+]]{S5} workers gain +{%5} Working Speed for [[time:{F1}d]]
[[C]][[-]]{S6} workers lose {%6} Working Speed for [[time:{F1}d]]",
LV.BCEv.FoodWoodDispute2.O2L,"The sudden shift catches the colony off guard, but over time the workers begin accepting the new balance. Tempers cool, though some resentment remains.
[[C]][[+]]{S6} workers gain +{%5} Working Speed for [[time:{F1}d]]
[[C]][[-]]{S5} workers lose {%6} Working Speed for [[time:{F1}d]]",
LV.BCEv.FoodWoodDispute2.O3,"Your attempt to reverse course pleases nobody. One side feels abandoned while the other doubts your sincerity. The arguments only grow louder.
[[C]][[-]]Both {S6} and {S5} workers lose {%7} Working Speed for [[time:{F1}d]]",
LV.BCEv.FoodWoodDispute2.O4,"At last, exhaustion overcomes anger. The workers slowly realize the quarrel is hurting the colony more than helping it, and cooperation gradually returns.
[[C]][[+]]Both groups' workers gain +{%9} Working Speed for [[time:{F1}d]]",
LV.BCEv.FoodWoodDispute2.O5,"Without guidance, resentment festers unchecked. Workers from both sides leave the meeting more frustrated than before, blaming the colony leadership for failing to settle the matter.
[[C]][[-]]Both groups' workers lose {%10} Working Speed for [[time:{F1}d]]",
LV.BCEv.FoodWoodDispute.Ch2LoyalBonusDesc,"+{%2} Working Speed",
LV.BCEv.FoodWoodDispute.Ch2LoyalMalusDesc,"{%3} Working Speed",
LV.BCEv.FoodWoodDispute.Ch2SwitchBonusDesc,"+{%5} Working Speed",
LV.BCEv.FoodWoodDispute.Ch2SwitchMalusDesc,"{%6} Working Speed",
LV.BCEv.FoodWoodDispute.Ch2SwitchCrisisDesc,"{%7} Working Speed",
LV.BCEv.FoodWoodDispute.Ch2NeutralBonusDesc,"+{%9} Working Speed",
LV.BCEv.FoodWoodDispute.Ch2NeutralMalusDesc,"{%10} Working Speed",
LV.BCEv.ContaminationCure,"Pasteur's Gamble",
LV.BCEv.ContaminationCure.Content,"{0} has been contaminated, lying still with damp fur, dull eyes, and a tail too weak to slap the ground. Most of the colony keeps a careful distance.
Then a self-declared doctor steps forward with stained notes and a theory called Pasteur's Gamble. The treatment is untested. Water may flush the poison. Sunflowers may strengthen the body. More careful aid may improve the odds, though no one can say what failure might bring.",
LV.BCEv.ContaminationCure.C1,"Give water",
LV.BCEv.ContaminationCure.C1N,"[[C]]Pay [[good:{1}:{2}]] in [[time:{0}d]]. <YellowHighlight>Unknown consequences.</YellowHighlight>",
LV.BCEv.ContaminationCure.C2,"Give sunflowers",
LV.BCEv.ContaminationCure.C2N,"[[C]]Pay [[good:{1}:{2}]] in [[time:{0}d]]. <YellowHighlight>Unknown consequences.</YellowHighlight>",
LV.BCEv.ContaminationCure.C3,"Aid the treatment",
LV.BCEv.ContaminationCure.C3N,"[[C]]Pay [[good:{1}:{2}]], [[good:{3}:{4}]], and [[good:{5}:{6}]] in [[time:{0}d]]. <YellowHighlight>Unknown consequences.</YellowHighlight>",
LV.BCEv.ContaminationCure.C4,"Dismiss the doctor",
LV.BCEv.ContaminationCure.C4N,"[[C]]Nothing happens.",
LV.BCEv.ContaminationCure.O1,"Against every doubtful stare, the treatment works. {0}'s breathing steadies, their eyes clear, and before long they are sitting upright again.
Better still, the remaining mixture proves stable enough to store. Pasteur's Gamble may be crude, but it has given the colony something useful.
[[C]][[+]]{0} is cured.
[[C]][[+]]Gain [[good:{1}:{2}]].",
LV.BCEv.ContaminationCure.O2,"The treatment fails. {0} remains weak, and the hopeful mixture turns bitter and useless. By morning, several helpers begin showing the same signs of contamination.
[[C]][[-]]{1} random beavers become contaminated.",
LV.BCEv.ContaminationCure.O3,"The treatment fails. {0} remains weak, and the prepared goods are spent with nothing to show for them.
The careful notes, however, prove useful for something else. The doctor cannot save the cure, but the colony recovers the lesson.
[[C]][[+]]Refund {1} Science.",
LV.BCEv.ContaminationConspiracy,"A Quiet Place",
LV.BCEv.ContaminationConspiracy.Content,"{0} is contaminated.
By dusk, whispers crawl through the colony like mist over badwater. Some say the contaminated are not merely sent away for safety. Some say a far district waits for them, quiet and empty, with no warm beds, no full tanks, and no one to hear the last tail-slap.
No one says it loudly. No one admits they believe it. But every beaver has seen how quickly a sick worker can become a problem to solve.
Now {0} watches the others from a distance, and the colony watches itself.",
LV.BCEv.ContaminationConspiracy.C1,"We will dispel this conspiracy theory",
LV.BCEv.ContaminationConspiracy.C1N,"[[C]]Cure {0} within [[time:{1}d]]",
LV.BCEv.ContaminationConspiracy.O1,"{0} returns clean, living, and loudly welcomed.
The rumor does not vanish all at once, but it loses its teeth. A beaver can be contaminated and still be counted among the colony. A beaver can be isolated without being abandoned.
That matters.
[[C]][[+]]All beavers gain {1} for [[time:{2}d]]",
LV.BCEv.ContaminationConspiracy.O2,"The quiet district remains quiet. There is no sound of {0} returning, no sign of recovery, and no end to the whispers.
Whether by neglect, fear, or cruel necessity, the rumor now has a name and a shape. Beavers lower their voices when a contaminated worker passes. Some glance toward the far paths and wonder who will be sent there next.
The colony keeps working, but not without looking over its shoulder.
[[C]][[-]]All beavers get {1} for [[time:{2}d]]",
LV.BCEv.ContaminationConspiracy.BuffName,"Reassured",
LV.BCEv.ContaminationConspiracy.DebuffName,"Quiet Dread",
